"Country","Year","Life Expectancy Rate","Worldwide Life Expectancy Rate","Decade"
"bolivia",2011,66.6269268292683,69.48,2010
"brazil",2011,73.3473658536585,69.48,2010
"barbados",2011,74.9671463414634,69.48,2010
"bhutan",2011,67.4607317073171,69.48,2010
"angola",2011,51.0593170731707,69.48,2010
"botswana",2011,46.6689512195122,69.48,2010
"canada",2011,81.0683170731707,69.48,2010
"switzerland",2011,82.6951219512195,69.48,2010
"chile",2011,79.306512195122,69.48,2010
"china",2011,75.042,69.48,2010
"cameroon",2011,54.1373658536585,69.48,2010
"albania",2011,77.1632195121951,69.48,2010
"colombia",2011,73.5738536585366,69.48,2010
"comoros",2011,60.4254878048781,69.48,2010
"costa rica",2011,79.4895609756098,69.48,2010
"cuba",2011,78.8938292682927,69.48,2010
"cyprus",2011,79.4719512195122,69.48,2010
"czech republic",2011,77.8731707317073,69.48,2010
"germany",2011,80.7414634146342,69.48,2010
"united arab emirates",2011,76.781,69.48,2010
"djibouti",2011,60.8030731707317,69.48,2010
"denmark",2011,79.8,69.48,2010
"dominican republic",2011,73.0130487804878,69.48,2010
"algeria",2011,70.7516829268293,69.48,2010
"ecuador",2011,75.9166097560976,69.48,2010
"spain",2011,82.4756097560976,69.48,2010
"estonia",2011,76.2292682926829,69.48,2010
"argentina",2011,75.8386097560976,69.48,2010
"ethiopia",2011,62.2528536585366,69.48,2010
"finland",2011,80.4707317073171,69.48,2010
"fiji",2011,69.5639756097561,69.48,2010
"france",2011,82.1146341463415,69.48,2010
"gabon",2011,62.6933414634146,69.48,2010
"united kingdom",2011,80.9512195121951,69.48,2010
"georgia",2011,73.8097804878049,69.48,2010
"ghana",2011,60.7885853658537,69.48,2010
"armenia",2011,74.3321951219512,69.48,2010
"guinea",2011,55.5901951219512,69.48,2010
"guinea-bissau",2011,53.7960975609756,69.48,2010
"equatorial guinea",2011,52.0849024390244,69.48,2010
"greece",2011,80.7317073170732,69.48,2010
"guatemala",2011,71.3279024390244,69.48,2010
"guyana",2011,65.8800731707317,69.48,2010
"honduras",2011,73.1731951219512,69.48,2010
"croatia",2011,76.7756097560976,69.48,2010
"haiti",2011,62.3059756097561,69.48,2010
"hungary",2011,74.8585365853659,69.48,2010
"indonesia",2011,70.3915609756098,69.48,2010
"india",2011,65.9584878048781,69.48,2010
"ireland",2011,80.7463414634146,69.48,2010
"iraq",2011,69.0157804878049,69.48,2010
"iceland",2011,82.3585365853659,69.48,2010
"israel",2011,81.6560975609756,69.48,2010
"italy",2011,82.1878048780488,69.48,2010
"jamaica",2011,73.0763902439025,69.48,2010
"jordan",2011,73.5918780487805,69.48,2010
"japan",2011,82.5912195121951,69.48,2010
"kazakhstan",2011,68.98,69.48,2010
"kenya",2011,60.3709024390244,69.48,2010
"australia",2010,81.6951219512195,69.48,2010
"cambodia",2010,70.6433658536585,69.48,2010
"kuwait",2010,74.1619268292683,69.48,2010
"lebanon",2010,79.2527804878049,69.48,2010
"liberia",2010,59.4343170731707,69.48,2010
"liechtenstein",2010,81.8414634146342,69.48,2010
"sri lanka",2010,73.7552682926829,69.48,2010
"lesotho",2010,47.4834146341463,69.48,2010
"lithuania",2010,73.2682926829268,69.48,2010
"luxembourg",2010,80.6317073170732,69.48,2010
"latvia",2010,73.4829268292683,69.48,2010
"morocco",2010,70.1715853658537,69.48,2010
